City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_description
79,Bageshwar,IN,29.85,79.7667,71.33,92,100,2.62,overcast clouds
80,Quatre Cocos,MU,-20.2078,57.7625,71.71,64,98,20.27,overcast clouds
81,Mataura,NZ,-46.1927,168.8643,47.48,99,100,0.85,moderate rain
82,Gallup,US,35.5281,-108.7426,80.44,38,1,10.36,clear sky
83,Rexburg,US,43.826,-111.7897,85.28,36,1,3.44,clear sky
84,Ribeira Grande,PT,38.5167,-28.7,77.4,73,20,11.5,few clouds
85,Bambous Virieux,MU,-20.3428,57.7575,71.85,64,40,18.41,scattered clouds
86,Holzkirchen,DE,47.8766,11.7018,75.99,94,100,7.09,heavy intensity rain
87,Chicama,PE,-7.8447,-79.1469,64.94,61,71,10.6,broken clouds
88,East London,ZA,-33.0153,27.9116,54.54,87,0,3.44,clear sky
89,Ayabe,JP,35.3,135.25,79.39,96,25,0.36,scattered clouds
90,Hamilton,US,39.1834,-84.5333,85.14,58,40,3.0,scattered clouds
91,Busselton,AU,-33.65,115.3333,43.09,77,100,16.4,overcast clouds
92,Bengkulu,ID,-3.8004,102.2655,75.42,91,19,5.53,few clouds
93,Paamiut,GL,61.994,-49.6678,45.5,81,100,13.02,light rain
94,Ternate,ID,0.8,127.4,80.8,81,15,1.52,few clouds
95,Cidreira,BR,-30.1811,-50.2056,54.79,57,2,5.28,clear sky
96,Esperance,AU,-33.8667,121.9,42.64,82,100,12.1,light rain
97,New Norfolk,AU,-42.7826,147.0587,53.92,62,89,1.99,overcast clouds
98,North Bend,US,43.4065,-124.2243,66.16,88,1,10.36,clear sky
99,Batsfjord,NO,70.6345,29.7185,50.22,86,64,8.75,broken clouds
100,Mecca,SA,21.4267,39.8261,92.66,22,93,3.91,overcast clouds
101,Albany,US,42.6001,-73.9662,75.88,52,36,1.99,scattered clouds
102,Baykit,RU,61.67,96.37,55.6,97,100,1.97,overcast clouds
103,Mayumba,GA,-3.432,10.6554,72.27,84,36,8.28,scattered clouds
104,Shingu,JP,33.7333,135.9833,78.91,86,16,4.07,few clouds
105,Upernavik,GL,72.7868,-56.1549,42.58,78,97,13.58,overcast clouds
106,Bodden Town,KY,19.2833,-81.25,89.6,70,20,5.01,few clouds
107,Butaritari,KI,3.0707,172.7902,81.32,77,81,5.41,moderate rain
108,Airai,TL,-8.9266,125.4092,57.74,69,100,2.01,overcast clouds
109,Novorossiysk,RU,44.7239,37.7708,70.25,59,0,2.08,clear sky
110,Vaini,TO,-21.2,-175.2,73.56,100,90,5.75,light rain
111,Kaitangata,NZ,-46.2817,169.8464,50.94,84,85,3.06,light rain
112,Namwala,ZM,-15.7504,26.4384,63.21,42,100,6.35,overcast clouds
