City_ID,City,Country,Max Temp,Current_description,Lat,Lng,Hotel Name
161,Isiro,CD,67.35,light rain,2.7739,27.616,Guest House Hewa Bora
162,Prado,BR,68.36,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
163,Vila Velha,BR,67.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
164,Severnyy,RU,73.44,clear sky,50.677,36.5532,Full House North Mini-Hotel
165,Axim,GH,76.86,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
166,Ormara,PK,81.5,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
167,Faanui,PF,78.53,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
168,Siavonga,ZM,67.55,few clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
169,Marsa Matruh,EG,82.6,clear sky,31.3525,27.2453,Beau Site
171,Los Llanos De Aridane,ES,72.12,broken clouds,28.6585,-17.9182,Valle Aridane
173,Leshan,CN,74.03,overcast clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
177,Vao,NC,67.82,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
181,Bac Lieu,VN,79.16,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
185,Katsuura,JP,79.11,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
186,Mahesana,IN,78.35,overcast clouds,23.6,72.4,ONGC Society
189,Manado,ID,77.77,few clouds,1.487,124.8455,Aryaduta Hotel
192,Miandrivazo,MG,76.5,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
195,Georgetown,MY,77.9,light rain,5.4112,100.3354,Cititel Penang
196,Vanimo,PG,76.53,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
197,Rock Falls,US,74.03,clear sky,41.7798,-89.689,"Country Inn & Suites by Radisson, Rock Falls, IL"
198,Chlorakas,CY,81.63,clear sky,34.8042,32.4083,Elysium Hotel
199,Huarmey,PE,70.56,few clouds,-10.0681,-78.1522,Hotel Miramar
200,Sao Filipe,CV,75.92,broken clouds,14.8961,-24.4956,Hotel Xaguate
201,Caravelas,BR,67.93,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
207,Casablanca,MA,80.62,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
211,Kashirskoye,RU,71.82,few clouds,51.4194,39.6125,Trekkholl
214,Guerrero Negro,MX,82.53,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
218,Shetpe,KZ,82.65,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
